Region,District , 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE ,10-19 YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS-4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE ,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE,10-19 YRS  (B/S & RDT) TOTAL, 20+  (B/S &RDT) FEMALE , 20+  (B/S &RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
Bugisu,Mbale District,163,122,285,12625,7827,20452,19500,9474,28974,7941,6264,14205,11412,10091,21503,154,120,274,120,7778,7898,19171,9416,28587,11199,9926,21125,7847,6184,14031,154,120,274,12351,7715,20066,110992,258059,369051,11119,9835,20954,7801,6160,13961,1509,1371,2880,51641,33778,85419,11631,10213,21844,222343,290356,360,1.027047984,268014.692,744.4852555,1.0344,34.1977
Ankole,Mbarara City,9,6,15,950,792,1742,3326,2515,5841,457,400,857,554,591,1145,3,0,3,0,597,597,2109,1913,4022,482,532,1014,374,341,715,3,0,3,634,568,1202,5868,23563,29431,464,509,973,361,339,700,22,96,118,5296,4304,9600,781,597,1378,199066,264425,471,1.028799021,242834.7786,515.5727783,0.6121, 30.6373
Ankole,Mbarara District,4,4,8,1233,1112,2345,2411,1671,4082,584,515,1099,627,546,1173,3,2,5,2,1044,1046,2163,1504,3667,566,499,1065,537,481,1018,1,2,3,1125,1022,2147,8466,22484,30950,554,485,1039,526,477,1003,35,111,146,4859,3848,8707,694,550,1244,145838,174039,773,1.017835486,165049.3489,213.5179158,0.6121,30.6373
Ankole,Mitooma District,1,0,1,4084,3271,7355,7318,3811,11129,1995,1816,3811,1964,1707,3671,1,0,1,0,3100,3100,6450,3471,9921,1721,1513,3234,1872,1713,3585,1,0,1,3725,3028,6753,27146,68295,95441,1696,1478,3174,1848,1694,3542,47,239,286,15362,10605,25967,2357,1707,4064,183444,226009,544,1.021085766,212294.6585,390.247534,0.6193,30.0203
North Central,Mityana District,43,39,82,28324,12127,40451,25097,16601,41698,7404,6778,14182,8431,10480,18911,35,35,70,35,10863,10898,23344,15351,38695,7770,7549,15319,6903,6329,13232,35,39,74,13655,11306,24961,107172,303934,411106,7992,7817,15809,7145,6658,13803,410,1275,1685,69299,46025,115324,10692,10519,21211,328964,407386,1525,1.021611499,382075.1412,250.5410762,0.4016,32.044
Karamoja,Moroto District,24,14,38,6376,4283,10659,9307,5497,14804,4032,3576,7608,11351,11032,22383,22,14,36,14,3832,3846,7822,4776,12598,10750,10422,21172,3831,3306,7137,19,14,33,5932,3941,9873,76430,181333,257763,10717,10426,21143,3851,3452,7303,168,470,638,31090,24402,55492,12181,11046,23227,103432,103639,3533,1.000199951,103576.8565,29.31697043,2.7495,34.5971
West Nile,Moyo District,22,14,36,21019,15406,36425,17886,7833,25719,14904,9689,24593,13673,13538,27211,21,14,35,14,15190,15204,16805,7576,24381,13414,13269,26683,13776,9572,23348,21,13,34,20362,14865,35227,170584,342616,513200,13073,12960,26033,11866,9848,21714,300,970,1270,67504,46480,113984,16614,13552,30166,95951,109572,1072,1.013362919,105294.2278,98.22222739,3.636,31.7651
South Central,Mpigi District,12,11,23,3252,2735,5987,7646,5940,13586,1505,1416,2921,2056,1998,4054,7,11,18,11,2619,2630,6936,5415,12351,1849,1826,3675,1408,1359,2767,6,11,17,2936,2560,5496,23910,69656,93566,1755,1743,3498,1349,1311,2660,77,402,479,14471,12100,26571,3240,2009,5249,250548,326690,1204,1.026891337,301691.0112,250.5739296,0.2274,32.3249
North Central,Mubende District,15,12,27,11312,8370,19682,19387,13274,32661,5413,4559,9972,5551,4932,10483,15,11,26,11,9052,9063,18382,12301,30683,5213,4644,9857,4916,4223,9139,15,11,26,10635,7038,17673,73390,199593,272983,5204,4665,9869,4922,4235,9157,429,1012,1441,41678,31147,72825,13009,4944,17953,412804,522015,2711,1.023749985,486520.626,179.4616842,0.449,31.3542
North Central,Mukono District,54,40,94,17074,13330,30404,29460,17924,47384,10224,8865,19089,11246,10704,21950,37,21,58,21,12766,12787,27539,16874,44413,10495,9993,20488,9809,8445,18254,35,19,54,15943,12449,28392,134376,334732,469108,10305,9807,20112,9596,8282,17878,593,2443,3036,68058,50863,118921,14838,10744,25582,596804,929224,1831,1.045270922,813642.8462,444.3707516,0.2835, 32.7633
Karamoja,Nabilatuk District,26,9,35,3504,1752,5256,6581,1884,8465,3497,2611,6108,13741,11422,25163,26,9,35,9,1737,1746,6417,1826,8243,13703,11390,25093,3494,2597,6091,24,8,32,3367,1681,5048,72528,162895,235423,13428,11139,24567,3422,2549,5971,218,658,876,27349,17678,45027,10013,11431,21444,68409,136785,1561,1.071747609,111111.9847,71.18000298,2.091,34.5971
Karamoja,Nakapiripirit District,47,73,120,5823,4088,9911,10799,8246,19045,4774,4045,8819,14145,13535,27680,8,19,27,19,3830,3849,8597,7123,15720,13187,12551,25738,4599,3910,8509,7,20,27,5341,3790,9131,86810,213701,300511,12960,12319,25279,4553,3842,8395,325,624,949,35588,29987,65575,13305,13608,26913,88281,111681,2641,1.023790759,104074.8225,39.40735423,1.7013,34.5971
North Central,Nakaseke District,3,3,6,7755,6197,13952,11730,9553,21283,4557,4209,8766,4633,4554,9187,2,2,4,2,5962,5964,10169,7886,18055,4104,4066,8170,4305,3986,8291,2,2,4,6962,5733,12695,58320,147101,205421,4026,3891,7917,4146,3853,7999,252,764,1016,28678,24516,53194,6849,4557,11406,197373,251398,3475,1.024489255,233797.356,67.27981469,1.2231,32.0837
