Region,District, 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE ,10-19 YEARS MALE ,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE ,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE, 20+ (B/S & RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),,,
Teso,Bukedea District,131,83,214,21816,10702,32518,30448,10575,41023,11355,7891,19246,13957,11909,25866,123,75,198,21666,10640,32306,155232,170550,325782,29897,10411,40308,13882,11761,25643,11284,7851,19135,116,73,189,21552,10525,32077,29736,10297,40033,13588,39497,53085,11138,7758,18896,1101,2723,3824,77707,41160,118867,14088,11992,26080,203600,282864,1032,1.033427444,264860.8067,256.6480685,1.3557,34.1087
Bukedi,Bukedi,820,647,1467,240021,137378,377399,308603,103104,411707,170583,136474,307057,224668,198757,423425,820,637,1457,231848,132100,363948,2191774,2258194,4449968,300674,100307,400981,234385,194815,429200,165564,131923,297487,797,632,1429,232613,133033,365646,300107,100035,400142,216587,554429,771016,165707,131996,297703,11132,23134,34266,944695,576360,1521055,225488,199404,424892,1881415,2372489,4504,1.023462561,2264958.695,502.8771526,,
South Central,Bukomansimbi District,3,3,6,7472,6553,14025,7239,4282,11521,4668,4435,9103,4320,4251,8571,3,4,7,7377,6483,13860,63082,57390,120472,7103,4229,11332,4245,4177,8422,4557,4368,8925,12,4,16,7442,6532,13974,7134,4254,11388,4334,13774,18108,4642,4422,9064,152,499,651,23702,19524,43226,4323,4254,8577,151413,197568,600,1.026964294,187329.3886,312.2156476,0.1433,31.6055
Bugisu,Bukwo District,1,1,2,2482,2246,4728,3719,2992,6711,1498,1345,2843,1371,1218,2589,1,1,2,2375,2179,4554,19976,23230,43206,3527,2872,6399,1313,1167,2480,1435,1299,2734,1,1,2,2328,2130,4458,3395,2808,6203,1293,5722,7015,1411,1274,2685,61,136,197,9071,7802,16873,1372,1219,2591,89356,114396,525,1.025011439,108881.3295,207.3930085,1.2819,34.7299
Bugisu,Bulambuli District,5,12,17,6948,4616,11564,10858,5593,16451,3283,2528,5811,4376,3968,8344,5,12,17,6507,4338,10845,50034,56974,107008,10024,5176,15200,4095,3721,7816,3071,2383,5454,5,12,17,6565,4300,10865,10078,5243,15321,4133,14219,18352,3088,2404,5492,418,878,1296,25470,16717,42187,4381,3980,8361,174513,235391,695,1.030377121,221716.2068,319.016125,1.4815,34.2866
Bunyoro,Buliisa District,5,1,6,14513,8923,23436,16989,6055,23044,8917,7162,16079,12980,11908,24888,5,1,6,14058,8588,22646,127238,116702,243940,13059,5648,18707,12467,11569,24036,8622,6980,15602,5,1,6,14017,8594,22611,13213,5761,18974,12517,31674,44191,8577,6853,15430,959,2034,2993,53404,34049,87453,12985,11909,24894,113161,167894,1367,1.040240696,155155.6147,113.5008154,1.8992,31.3542
Tooro,Bundibugyo District,27,26,53,24112,13528,37640,37753,18180,55933,14843,10860,25703,18800,16918,35718,25,26,51,24064,13480,37544,198032,234680,432712,37823,18191,56014,18796,16908,35704,14845,10727,25572,25,25,50,23795,13426,37221,37641,18094,55735,18723,57347,76070,14784,10786,25570,849,1526,2375,95535,59512,155047,18827,16944,35771,224387,264778,850,1.016689692,256156.3087,301.3603632,0.6852, 30.0203
Tooro,Bunyangabu District,15,17,32,5293,4807,10100,8348,6462,14810,3040,2626,5666,3276,2746,6022,14,16,30,4946,4599,9545,42526,47630,90156,7469,5781,13250,2707,2533,5240,2834,2461,5295,14,16,30,4667,4318,8985,6918,5337,12255,2569,10891,13460,2653,2317,4970,128,321,449,19972,16658,36630,3291,2763,6054,170247,219012,466,1.025507508,208252.4994,446.8937756,0.4871,30.2051
Bunyoro,Bunyoro,235,171,406,127019,88387,215406,150696,77517,228213,71419,59188,130607,101484,94635,196119,199,118,317,121838,84868,206706,1067498,1053258,2120756,137675,71314,208989,96978,90639,187617,72825,56864,129689,205,129,334,120920,85155,206075,137801,71343,209144,97134,274516,371650,68707,56881,125588,9069,19136,28205,450853,319898,770751,101719,94806,196525,2028545,2792732,16580,1.032486689,2619752.952,158.0068125,,
Ankole,Bushenyi District,0,2,2,6711,6475,13186,8882,6236,15118,2752,2461,5213,2278,2192,4470,0,2,2,6503,6273,12776,44922,47524,92446,8472,5990,14462,2161,2094,4255,2662,2381,5043,0,2,2,6426,6202,12628,8425,5971,14396,2141,10978,13119,2625,2354,4979,71,349,420,20623,17366,37989,2278,2194,4472,234443,283392,845,1.019142779,272845.9571,322.8946238,0.4875,30.1127
