Region,District, 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE ,10-19 YEARS MALE ,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE ,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE, 20+ (B/S & RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E)
Kigezi,Rubanda District,1,0,1,159,256,415,673,1609,2282,53,42,95,64,67,131,1,0,1,149,251,400,654,1575,2229,51,53,104,47,36,83,1,0,1,145,250,395,646,1548,2194,50,51,101,45,36,81,6,16,22,886,1974,2860,65,67,132,196896,249454,660,1.023942002,226928.4991,343.8310592,1.1517,29.8352
Ankole,Rubirizi District,1,1,2,3738,3026,6764,5323,3353,8676,1871,1577,3448,1576,1479,3055,1,1,2,3664,2989,6653,5158,3273,8431,1531,1410,2941,1818,1550,3368,2,1,3,3574,2902,6476,4969,3131,8100,1488,1380,2868,1762,1505,3267,70,193,263,10933,9436,20369,1577,1480,3057,129149,168211,1096,1.026777479,151338.3709,138.0824552,0.2642,30.1084
Kigezi,Rukiga District,0,0,0,135,177,312,481,625,1106,44,100,144,63,58,121,0,0,0,121,141,262,453,589,1042,58,49,107,44,48,92,0,0,0,108,127,235,399,547,946,50,41,91,41,43,84,4,10,14,660,960,1620,63,58,121,100726,132355,426,1.027684666,118659.0444,278.5423578,1.1326,30.0434
Kigezi,Rukungiri District,15,5,20,8226,6970,15196,12978,9354,22332,3648,3161,6809,3991,3480,7471,10,2,12,7713,6617,14330,11561,8525,20086,3514,3033,6547,3444,2972,6416,10,2,12,7494,6430,13924,11240,8340,19580,3385,2924,6309,3341,2908,6249,139,408,547,24867,22970,47837,4006,3485,7491,314694,376110,1381,1.017987961,350222.7174,253.6008091,0.7518,29.9278
Ankole,Rwampara District,10,2,12,778,592,1370,2522,1661,4183,303,267,570,351,345,696,0,0,0,584,490,1074,1936,1355,3291,208,221,429,228,180,408,0,0,0,552,466,1018,1813,1283,3096,182,204,386,219,167,386,2,15,17,3613,2867,6480,361,347,708,127725,162967,542,1.024666118,147832.5836,272.7538444,0.7476,30.482
South Central,Sembabule District,22,19,41,8039,6576,14615,13132,9118,22250,4919,4397,9316,5315,4903,10218,21,24,45,7906,6478,14384,12855,8995,21850,5201,4815,10016,4820,4322,9142,21,15,36,7867,6426,14293,12547,8677,21224,5125,4767,9892,4801,4302,9103,312,767,1079,26112,25013,51125,5337,4922,10259,252597,305971,2317,1.019354414,283386.681,122.3075878,0.0638,31.3542
Teso,Serere District,7,12,19,10113,5025,15138,11007,3994,15001,4681,3931,8612,3748,3639,7387,3,8,11,9409,4836,14245,9283,3570,12853,3263,3240,6503,4469,3776,8245,4,8,12,12209,4603,16812,8980,3320,12300,3184,3156,6340,4310,3618,7928,477,839,1316,25808,16601,42409,3755,3651,7406,285903,358123,1495,1.022777935,327270.4649,218.9100099,1.4994,33.549
Ankole,Sheema District,0,0,0,596,578,1174,1552,1234,2786,256,226,482,285,298,583,0,0,0,398,438,836,1059,827,1886,158,184,342,157,135,292,0,0,0,376,427,803,1022,800,1822,153,178,331,155,131,286,3,24,27,2404,2336,4740,285,298,583,207343,252275,327,1.019808162,233238.5217,713.2676504,0.5515,30.3897
Bugisu,Sironko District,9,9,18,8466,5230,13696,19035,9616,28651,4219,3269,7488,5712,4811,10523,3,7,10,7559,4766,12325,15951,8198,24149,4838,4080,8918,3852,2975,6827,9,9,18,7854,4979,12833,17315,8969,26284,5118,4303,9421,3989,3064,7053,362,1156,1518,31729,22935,54664,5721,4820,10541,242421,298363,383,1.020980559,274583.9034,716.9292517,1.2302,34.2491
Teso,Soroti City,19,14,33,13316,6696,20012,25533,10317,35850,5652,4353,10005,6966,6365,13331,8,7,15,12772,6590,19362,23556,9750,33306,6564,6034,12598,5586,4182,9768,10,6,16,12506,6419,18925,22839,9387,32226,6453,5896,12349,5421,4046,9467,357,939,1296,44520,27745,72265,6985,6379,13364,98501,134199,205,1.031408875,118583.9257,578.4581743,,
